MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
116,The Nutty Professor,"September 1, 2021",1996,PG-13,95,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
117,The Nutty Professor II: The Klumps,"September 1, 2021",2000,PG-13,107,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation."
118,Welcome Home Roscoe Jenkins,"September 1, 2021",2008,PG-13,114,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
119,In the Line of Fire,"August 31, 2021",1993,R,129,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
120,Untold: Crime & Penalties,"August 31, 2021",2021,TV-MA,86,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
121,2 Alone in Paris,"August 28, 2021",2008,TV-MA,97,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
122,Thimmarusu,"August 28, 2021",2021,TV-14,125,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
123,Wind River,"August 28, 2021",2017,R,107,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
124,C Kkompany,"August 27, 2021",2008,TV-14,127,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
125,EMI: Liya Hai To Chukana Padega,"August 27, 2021",2008,TV-14,128,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
126,He's All That,"August 27, 2021",2021,TV-14,92,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That."""
127,Koi Aap Sa,"August 27, 2021",2006,TV-14,135,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
128,Krishna Cottage,"August 27, 2021",2004,TV-14,124,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
129,Kucch To Hai,"August 27, 2021",2003,TV-14,136,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
130,Kyaa Kool Hai Hum,"August 27, 2021",2005,TV-MA,165,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
131,Kyaa Kool Hain Hum 3,"August 27, 2021",2016,TV-MA,124,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
